Month,Sales
11/1/2005,326000
12/1/2005,281000
1/1/2006,250000
2/1/2006,161000
3/1/2006,192000
4/1/2006,295000
5/1/2006,221000
6/1/2006,277000
7/1/2006,207000
8/1/2006,205000
9/1/2006,259000
10/1/2006,218000
11/1/2006,511000
12/1/2006,1100000
1/1/2007,294000
2/1/2007,228000
3/1/2007,199000
4/1/2007,174000
5/1/2007,155000
6/1/2007,198400
7/1/2007,170000
8/1/2007,276700
9/1/2007,527800
10/1/2007,366000
11/1/2007,770000
12/1/2007,1260000
1/1/2008,230000
2/1/2008,254600
3/1/2008,262000
4/1/2008,188000
5/1/2008,186600
6/1/2008,219000
7/1/2008,205000
8/1/2008,195200
9/1/2008,347200
10/1/2008,371000
11/1/2008,836000
12/1/2008,1440000
1/1/2009,309000
2/1/2009,391000
3/1/2009,330000
4/1/2009,175000
5/1/2009,175000
6/1/2009,240600
7/1/2009,202900
8/1/2009,215400
9/1/2009,352600
10/1/2009,249700
11/1/2009,819500
12/1/2009,1310000
1/1/2010,332800
2/1/2010,422000
3/1/2010,338400
4/1/2010,185400
5/1/2010,194600
6/1/2010,451700
7/1/2010,443500
8/1/2010,356700
9/1/2010,483989
10/1/2010,325000
11/1/2010,1370000
12/1/2010,2192000
1/1/2011,381000
2/1/2011,535214
3/1/2011,433000
4/1/2011,297000
5/1/2011,270000
6/1/2011,507000
7/1/2011,277000
8/1/2011,308000
9/1/2011,483000
10/1/2011,393000
11/1/2011,1700000
12/1/2011,2329000
1/1/2012,325000
2/1/2012,381000
3/1/2012,365000
4/1/2012,275000
5/1/2012,209000
6/1/2012,304000
7/1/2012,274000
8/1/2012,251000
9/1/2012,344000
10/1/2012,374000
11/1/2012,1617000
12/1/2012,1755000
1/1/2013,347000
2/1/2013,317000
3/1/2013,272000
4/1/2013,155000
5/1/2013,115000
6/1/2013,156000
7/1/2013,113000
8/1/2013,103000
9/1/2013,208000
10/1/2013,149000
11/1/2013,753000
12/1/2013,755000
